"","X","IDp","IDf","IDm","sex","byear","dyear","cregcode","sregcode","lifespan","afr","lrs","bcohort.20","bcohort.10","predicted_lifespan","is.dyear.known","dyear.predicted","migrantstatus","afr_5thp","afr_median","arryear","depyear","presence_duration"
"1",558,"P0000001480","P0000015595","P0000015591","F",1881,NA,"GL09","GL03",NA,22.6602870813397,NA,"(1.87e+03,1.89e+03]","(1.88e+03,1.89e+03]",61.6705399863295,"no:dyear_missing",1942.67053998633,"immigrant",19.1501025290499,24.2802460697198,1904,1943,39
"2",561,"P0000001487","P0000019788","P0000016172","F",1887,1960,"GL09","GL03",72.9897470950103,22.9282296650718,1,"(1.87e+03,1.89e+03]","(1.88e+03,1.89e+03]",61.6705399863295,"yes",1960,"immigrant",19.1501025290499,24.2802460697198,1910,1960,50
"3",563,"P0000001494","P0000041373","P0000041488","F",1636,1712,"GL03","GL09",75.2071086807929,NA,NA,"(1.63e+03,1.65e+03]","(1.63e+03,1.64e+03]",61.1975393028025,"yes",1712,"emigrant",20.0109364319891,26.4224196855776,1636,1662,26
"4",782,"P0000002108","P0000034618","P0000003969","F",1778,1813,"GL03","GL09",35.7949419002051,21.8345864661654,3,"(1.77e+03,1.79e+03]","(1.77e+03,1.78e+03]",51.5926179084073,"yes",1813,"emigrant",19.0031442241969,23.6527682843472,1778,1799,21
"5",933,"P0000002504","P0000014758","P0000014916","F",1864,NA,"GL03","GL09",NA,NA,NA,"(1.85e+03,1.87e+03]","(1.86e+03,1.87e+03]",36.6684894053315,"no:dyear_missing",1900.66848940533,"emigrant",19.298017771702,23.6418318523582,1864,1888,24
"6",1344,"P0000003066","P0000025352","P0000025437","F",1747,1814,"GL03","GL09",67.742993848257,18.7915242652085,5,"(1.73e+03,1.75e+03]","(1.74e+03,1.75e+03]",48.6015037593985,"yes",1814,"emigrant",19.7607655502392,23.9808612440191,1747,1765,18
"7",1345,"P0000003066","P0000025352","P0000025437","F",1747,1814,"GL03","GL03",67.742993848257,18.7915242652085,5,"(1.73e+03,1.75e+03]","(1.74e+03,1.75e+03]",48.6015037593985,"yes",1814,"resident_returned",19.7607655502392,23.9808612440191,1765,1814,49
"8",1545,"P0000003287","P0000032400","P0000032449","M",1627,1684,"GL03","GL09",56.2788790157211,30.0533151059467,5,"(1.61e+03,1.63e+03]","(1.62e+03,1.63e+03]",55.2426520847574,"yes",1684,"emigrant",21.708954203691,27.5816814764183,1627,1657,30
"9",1634,"P0000003391",NA,NA,"F",1811,1879,"GL01","GL03",67.7156527682844,19.9562542720437,8,"(1.81e+03,1.83e+03]","(1.81e+03,1.82e+03]",48.704032809296,"yes",1879,"immigrant",18.8727272727272,24.1913875598086,1835,1879,44
"10",1987,"P0000003768","P0000039231","P0000034173","F",1923,NA,"GL03","GL09",NA,NA,NA,"(1.91e+03,1.93e+03]","(1.92e+03,1.93e+03]",67.4996582365003,"no:incomplete_lifespan",2011,"emigrant",19.74996582365,25.5174299384826,1923,1949,26
"11",2139,"P0000003943","P0000003933","P0000003935","F",1608,1689,"GL09","GL03",80.6807928913192,22.0806561859193,7,"(1.59e+03,1.61e+03]","(1.6e+03,1.61e+03]",64.7764866712235,"yes",1689,"immigrant",21.4009569377991,25.2973342447027,1630,1689,59
"12",2160,"P0000003969","P0000001661","P0000001664","F",1735,1798,"GL09","GL03",62.5563909774436,21.3588516746411,6,"(1.73e+03,1.75e+03]","(1.73e+03,1.74e+03]",54.0451127819549,"yes",1798,"immigrant",19.7607655502392,23.9808612440191,1763,1798,35
"13",2760,"P0000004628","P0000028576","P0000028628","F",1660,NA,"GL03","GL09",NA,27.8550922761449,NA,"(1.65e+03,1.67e+03]","(1.66e+03,1.67e+03]",61.0116199589884,"no:dyear_missing",1721.01161995899,"emigrant",18.8926862611073,29.0034176349966,1660,1688,28
"14",3202,"P0000005102","P0000014088","P0000014181","F",1716,1791,"GL03","GL09",74.0861244019139,24.6561859193438,6,"(1.71e+03,1.73e+03]","(1.71e+03,1.72e+03]",61.4873547505126,"yes",1791,"emigrant",19.5511961722488,26.3896103896104,1716,1741,25
"15",3291,"P0000005193","P0000004897","P0000005190","F",1755,1792,"GL09","GL03",36.946001367054,25.3041695146958,3,"(1.75e+03,1.77e+03]","(1.75e+03,1.76e+03]",46.3157894736842,"yes",1792,"immigrant",18.9919343814081,25.4463431305537,1780,1792,12
"16",3528,"P0000005442","P0000004902","P0000005026","F",1765,1818,"GL09","GL03",52.2898154477102,26.9090909090909,4,"(1.75e+03,1.77e+03]","(1.76e+03,1.77e+03]",54.9241285030758,"yes",1818,"immigrant",18.9919343814081,25.4463431305537,1790,1818,28
"17",3664,"P0000005585","P0000031338","P0000031340","F",1745,1816,"GL03","GL05",71.1223513328777,23.6937799043062,6,"(1.73e+03,1.75e+03]","(1.74e+03,1.75e+03]",48.6015037593985,"yes",1816,"emigrant",19.7607655502392,23.9808612440191,1745,1769,24
"18",3667,"P0000005585","P0000031338","P0000031340","F",1745,1816,"GL03","GL03",71.1223513328777,23.6937799043062,6,"(1.73e+03,1.75e+03]","(1.74e+03,1.75e+03]",48.6015037593985,"yes",1816,"resident_returned",19.7607655502392,23.9808612440191,1769,1816,47
"19",4047,"P0000005992","P0000025444","P0000025469","F",1768,1822,"GL03","GL09",54.5618591934381,18.4497607655502,9,"(1.75e+03,1.77e+03]","(1.76e+03,1.77e+03]",54.9241285030758,"yes",1822,"emigrant",18.9919343814081,25.4463431305537,1768,1786,18
"20",4077,"P0000006023","P0000034618","P0000003969","F",1763,1800,"GL03","GL09",36.8010936431989,22.5974025974026,4,"(1.75e+03,1.77e+03]","(1.76e+03,1.77e+03]",54.9241285030758,"yes",1800,"emigrant",18.9919343814081,25.4463431305537,1763,1786,23
"21",4362,"P0000006325","P0000034624","P0000031342","F",1770,1815,"GL03","GL09",44.6425153793575,20.9487354750513,7,"(1.77e+03,1.79e+03]","(1.77e+03,1.78e+03]",51.5926179084073,"yes",1815,"emigrant",19.0031442241969,23.6527682843472,1770,1791,21
"22",4363,"P0000006325","P0000034624","P0000031342","F",1770,1815,"GL03","GL03",44.6425153793575,20.9487354750513,7,"(1.77e+03,1.79e+03]","(1.77e+03,1.78e+03]",51.5926179084073,"yes",1815,"resident_returned",19.0031442241969,23.6527682843472,1791,1815,24
"23",4445,"P0000006413","P0000005846","P0000006409","F",1805,1874,"GL09","GL03",68.904989747095,26.1435406698565,8,"(1.79e+03,1.81e+03]","(1.8e+03,1.81e+03]",47.3383458646617,"yes",1874,"immigrant",18.6985645933015,24.6561859193438,1831,1874,43
"24",4508,"P0000006478","P0000014225","P0000014344","F",1786,1864,"GL03","GL09",78.3759398496241,22.7368421052632,11,"(1.77e+03,1.79e+03]","(1.78e+03,1.79e+03]",57.4873547505127,"yes",1864,"emigrant",19.0031442241969,23.6527682843472,1786,1809,23
"25",4558,"P0000006533",NA,NA,"F",1777,1833,"GL01","GL03",56.0054682159945,NA,NA,"(1.77e+03,1.79e+03]","(1.77e+03,1.78e+03]",51.5926179084073,"yes",1833,"immigrant",19.0031442241969,23.6527682843472,1801,1833,32
"26",4712,"P0000006697","P0000005994","P0000006695","F",1811,1867,"GL09","GL03",55.3902939166097,23.6828434723172,8,"(1.81e+03,1.83e+03]","(1.81e+03,1.82e+03]",48.704032809296,"yes",1867,"immigrant",18.8727272727272,24.1913875598086,1835,1867,32
"27",4912,"P0000006920",NA,NA,"F",1781,1860,NA,"GL03",78.5345181134655,39.3164730006835,1,"(1.77e+03,1.79e+03]","(1.78e+03,1.79e+03]",57.4873547505127,"yes",1860,"immigrant",19.0031442241969,23.6527682843472,1820,1860,40
"28",5658,"P0000007738","P0000031353","P0000005193","F",1787,1842,"GL03","GL09",54.3896103896104,31.5871496924128,1,"(1.77e+03,1.79e+03]","(1.78e+03,1.79e+03]",57.4873547505127,"yes",1842,"emigrant",19.0031442241969,23.6527682843472,1787,1819,32
